,changed,Unique.ID,Continent,Species.Distribution,Status,cal.last.occurrence,X14C.last.occurrence,X14C.error,Order,FAMILY,Genus,Species,X,binomial.x,LogMass,Combined.Mass..g.,Comments,Reference,IUCN.status,comment,comment.1,Home.Range.Size,units.for.home.range.sizse,reference.for.home.range,binomial.y,trophic,ref.for.trophic,habitat.mode
3038,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Limnogale mergulus,Insular_extant_Madagascar_Limnogale mergulus,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Limnogale,mergulus,,Limnogale mergulus,1.9,79.5,Added in by KJ and ME,68,,,,,NA,NA,Limnogale mergulus,,,
3039,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Limnogale mergulus,Insular_extant_Madagascar_Limnogale mergulus,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Limnogale,mergulus,,Limnogale mergulus,1.9,79.5,Added in by KJ and ME,68,,,,,NA,NA,Limnogale mergulus,,,
3040,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Macrotarsomys bastardi,Insular_extant_Madagascar_Macrotarsomys bastardi,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Macrotarsomys,bastardi,,Macrotarsomys bastardi,1.398,25,20-30g,150,,,,,NA,NA,Macrotarsomys bastardi,,,
3041,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Macrotarsomys ingens,Insular_extant_Madagascar_Macrotarsomys ingens,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Macrotarsomys,ingens,,Macrotarsomys ingens,1.74,55,habitat loss,150,CR,,,,NA,NA,Macrotarsomys ingens,,,
3042,Unchanged taxonomy.,Insular_extant_Madagascar_Massoutiera mzabi,Insular,Madagascar,extant,,NA,NA,Rodentia,Ctenodactylidae,Massoutiera,mzabi,,Massoutiera mzabi,2.288,194,Added in by KJ and ME,68,,,,,NA,NA,Massoutiera mzabi,,,
3043,Unchanged taxonomy.,Insular_extant_Madagascar_Microcebus murinus,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Microcebus,murinus,,Microcebus murinus,1.839,69,Added in by KJ and ME,68,mass avg. 60g_ range 45-85_ mammals of madagascar,,,,NA,NA,Microcebus murinus,,,
3044,Unchanged taxonomy.,Insular_extant_Madagascar_Microcebus myoxinus,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Microcebus,myoxinus,,Microcebus myoxinus,1.477,30,restricted range,150,EN,,,,NA,NA,Microcebus myoxinus,,,
3045,Unchanged taxonomy.,Insular_extant_Madagascar_Microcebus ravelobensis,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Microcebus,ravelobensis,,Microcebus ravelobensis,1.74,55,unknown,150,EN,,,,NA,NA,Microcebus ravelobensis,,,
3046,Unchanged taxonomy.,Insular_extant_Madagascar_Microcebus rufus,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Microcebus,rufus,,Microcebus rufus,1.628,42.5,mass avg. 40-45g_ seasonal variation 30-55g,150,,,,,NA,NA,Microcebus rufus,,,
3047,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale brevicaudata,Insular_extant_Madagascar_Microgale brevicaudata,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,brevicaudata,,Microgale brevicaudata,1.053,11.3,8-10g,154,,,,,NA,NA,Microgale brevicaudata,,,
3048,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale cowani,Insular_extant_Madagascar_Microgale cowani,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,cowani,,Microgale cowani,1.14,13.8,10-16g,154,,,,,NA,NA,Microgale cowani,,,
3049,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale dobsoni,Insular_extant_Madagascar_Microgale dobsoni,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,dobsoni,,Microgale dobsoni,1.58,38,Added in by KJ and ME,68,,,,,NA,NA,Microgale dobsoni,,,
3050,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale drouhardi,Insular_extant_Madagascar_Microgale drouhardi,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,drouhardi,,Microgale drouhardi,1.021,10.5,,154,,,,,NA,NA,Microgale drouhardi,,,
3051,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale dryas,Insular_extant_Madagascar_Microgale dryas,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,dryas,,Microgale dryas,1.602,40,habitat loss_ restricted range,150,CR,,,,NA,NA,Microgale dryas,,,
3052,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale fotsifotsy,Insular_extant_Madagascar_Microgale fotsifotsy,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,fotsifotsy,,Microgale fotsifotsy,0.886,7.7,,154,described by Jenkins et al._ 1997,,,,NA,NA,Microgale fotsifotsy,,,
3053,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale gracilis,Insular_extant_Madagascar_Microgale gracilis,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,gracilis,,Microgale gracilis,1.367,23.3,habitat loss_ restricted range,154,VU,,,,NA,NA,Microgale gracilis,,,
3054,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale gymnorhyncha,Insular_extant_Madagascar_Microgale gymnorhyncha,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,gymnorhyncha,,Microgale gymnorhyncha,1.26,18.2,12-20g,154,described by Jenkins et al._ 1996,,,,NA,NA,Microgale gymnorhyncha,,,
3055,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale longicaudata,Insular_extant_Madagascar_Microgale longicaudata,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,longicaudata,,Microgale longicaudata,0.863,7.3,5-12g,154,,,,,NA,NA,Microgale longicaudata,,,
3056,"Genus level change. Taxonomy possibilities are: SORICOMORPHA Nesophontidae Nesophontes longirostris, SORICOMORPHA Soricidae Sorex longirostris, SORICOMORPHA Talpidae Euroscaptor longirostris, CHIROPTERA Phyllostomidae Glossophaga longirostris, CETACEA Delphinidae Stenella longirostris",Insular_extant_Madagascar_Microgale longirostris,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,longirostris,,Microgale longirostris,1.398,25,,150,,,,,NA,NA,Microgale longirostris,,,
3057,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale monticola,Insular_extant_Madagascar_Microgale monticola,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,monticola,,Microgale monticola,1.143,13.9,,154,,,,,NA,NA,Microgale monticola,,,
3058,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale parvula,Insular_extant_Madagascar_Microgale parvula,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,parvula,,Microgale parvula,0.531,3.4,habitat loss_ restricted range,154,EN,,,,NA,NA,Microgale parvula,,,
3059,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale principula,Insular_extant_Madagascar_Microgale principula,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,principula,,Microgale principula,1.009,10.2,habitat loss_ restricted range,154,EN,,,,NA,NA,Microgale principula,,,
3060,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale pusilla,Insular_extant_Madagascar_Microgale pusilla,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,pusilla,,Microgale pusilla,0.531,3.4,2.5-4g,154,,,,,NA,NA,Microgale pusilla,,,
3061,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale soricoides,Insular_extant_Madagascar_Microgale soricoides,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,soricoides,,Microgale soricoides,1.272,18.7,16-22g,154,,,,,NA,NA,Microgale soricoides,,,
3062,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale taiva,Insular_extant_Madagascar_Microgale taiva,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,taiva,,Microgale taiva,1.093,12.4,10-25g,154,,,,,NA,NA,Microgale taiva,,,
3063,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale talazaci,Insular_extant_Madagascar_Microgale talazaci,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,talazaci,,Microgale talazaci,1.681,48,Added in by KJ and ME,68,,,,,NA,NA,Microgale talazaci,,,
3064,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Microgale thomasi,Insular_extant_Madagascar_Microgale thomasi,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Microgale,thomasi,,Microgale thomasi,1.36,22.9,habitat loss_ restricted range,154,VU,,,,NA,NA,Microgale thomasi,,,
3065,Unchanged taxonomy.,Insular_extant_Madagascar_Mirza coquereli,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Mirza,coquereli,,Mirza coquereli,2.489,308,habitat loss_ restricted range_ pollution,68,VU,,,,NA,NA,Mirza coquereli,,,
3066,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Monticolomys koopmani,Insular_extant_Madagascar_Monticolomys koopmani,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Monticolomys,koopmani,,Monticolomys koopmani,1.398,25,,150,described by Carleton & Goodman_ 1996,,,,NA,NA,Monticolomys koopmani,,,
3067,Unchanged taxonomy.,Insular_extant_madagascar_Mormopterus jugularis,Insular,madagascar,extant,,NA,NA,Chiroptera,Molossidae,Mormopterus,jugularis,,Mormopterus jugularis,1.061,11.5,,153,,,,,NA,NA,Mormopterus jugularis,,,
3068,Genus and species name match. Likely taxonomy is CARNIVORA Eupleridae Mungotictis decemlineata,Insular_extant_Madagascar_Mungotictis decemlineata,Insular,Madagascar,extant,,NA,NA,Carnivora,Herpestidae,Mungotictis,decemlineata,,Mungotictis decemlineata,2.813,650,habitat loss,68,EN,,,,NA,NA,Mungotictis decemlineata,,,
3069,Genus and species name match. Likely taxonomy is CARNIVORA Eupleridae Mungotictis decemlineata,Insular_extant_Madagascar_Mungotictis decemlineata,Insular,Madagascar,extant,,NA,NA,Carnivora,Herpestidae,Mungotictis,decemlineata,,Mungotictis decemlineata,2.813,650,habitat loss,68,EN,,,,NA,NA,Mungotictis decemlineata,,,
3070,Genus and species name match. Likely taxonomy is CARNIVORA Eupleridae Mungotictis decemlineata,Insular_extant_Madagascar_Mungotictis decemlineata,Insular,Madagascar,extant,,NA,NA,Carnivora,Herpestidae,Mungotictis,decemlineata,,Mungotictis decemlineata,2.813,650,Added in by KJ and ME,68,,,,,NA,NA,Mungotictis decemlineata,,,
3071,Genus and species name match. Likely taxonomy is CARNIVORA Eupleridae Mungotictis decemlineata,Insular_extant_Madagascar_Mungotictis decemlineata,Insular,Madagascar,extant,,NA,NA,Carnivora,Herpestidae,Mungotictis,decemlineata,,Mungotictis decemlineata,2.813,650,Added in by KJ and ME,68,,,,,NA,NA,Mungotictis decemlineata,,,
3072,Unchanged taxonomy.,Insular_extant_Madagascar_Myotis goudoti,Insular,Madagascar,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,goudoti,,Myotis goudoti,-999,-999,,-999,,,,,NA,NA,Myotis goudoti,,,
3073,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Nesomys audeberti,Insular_extant_Madagascar_Nesomys audeberti,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Nesomys,audeberti,,Nesomys audeberti,2.327,212.5,190-230g_ female avg. 200g_ male avg. 225g,150,,,,,NA,NA,Nesomys audeberti,,,
3074,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Nesomys lambertoni,Insular_extant_Madagascar_Nesomys lambertoni,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Nesomys,lambertoni,,Nesomys lambertoni,2.19,155,140-170g_ estimated measurement,150,,,,,NA,NA,Nesomys lambertoni,,,
3075,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Nesomys rufus,Insular_extant_Madagascar_Nesomys rufus,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Nesomys,rufus,,Nesomys rufus,2.211,162.5,125-200g_ female avg. 150g_ male avg. 175g,150,,,,,NA,NA,Nesomys rufus,,,
3076,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Oryzorictes hova,Insular_extant_Madagascar_Oryzorictes hova,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Oryzorictes,hova,,Oryzorictes hova,1.562,36.5,30-40g,154,,,,,NA,NA,Oryzorictes hova,,,
3077,"Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Thomomys talpoides, SORICOMORPHA Talpidae Urotrichus talpoides",Insular_extant_Madagascar_Oryzorictes talpoides,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Oryzorictes,talpoides,,Oryzorictes talpoides,1.544,35,30-40g,150,,,,,NA,NA,Oryzorictes talpoides,,,
3078,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Oryzorictes tetradactylus,Insular_extant_Madagascar_Oryzorictes tetradactylus,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Oryzorictes,tetradactylus,,Oryzorictes tetradactylus,1.556,36,25-40g,154,,,,,NA,NA,Oryzorictes tetradactylus,,,
3079,Unchanged taxonomy.,Insular_extant_Madagascar_Phaner furcifer,Insular,Madagascar,extant,,NA,NA,Primates,Cheirogaleidae,Phaner,furcifer,,Phaner furcifer,2.602,400,habitat loss,68,LR,,,,NA,NA,Phaner furcifer,,,
3080,Unchanged taxonomy.,Insular_extant_Madagascar_Pogonomys loriae,Insular,Madagascar,extant,,NA,NA,Rodentia,Muridae,Pogonomys,loriae,,Pogonomys loriae,1.978,95,Added in by KJ and ME,68,,,,,NA,NA,Pogonomys loriae,,,
3081,Unchanged taxonomy.,Insular_extant_Madagascar_Potamochoerus larvatus,Insular,Madagascar,extant,,NA,NA,Artiodactyla,Suidae,Potamochoerus,larvatus,,Potamochoerus larvatus,1.796,62.5,,150,,female: 55kg_ males 70kg_ estimated measurements for malagasy specimens,,,NA,NA,Potamochoerus larvatus,browse/frug/ginsect,t1,terr
3082,Unchanged taxonomy.,Insular_extant_Madagascar_Propithecus diadema,Insular,Madagascar,extant,,NA,NA,Primates,Indridae,Propithecus,diadema,,Propithecus diadema,3.875,7500,hunting_ habitat loss,74,EN,,,,NA,NA,Propithecus diadema,,,
3083,Unchanged taxonomy.,Insular_extant_Madagascar_Propithecus tattersalli,Insular,Madagascar,extant,,NA,NA,Primates,Indridae,Propithecus,tattersalli,,Propithecus tattersalli,3.544,3500,hunting_ habitat loss,150,CR,,,,NA,NA,Propithecus tattersalli,,,
3084,Unchanged taxonomy.,Insular_extant_Madagascar_Propithecus verreauxi,Insular,Madagascar,extant,,NA,NA,Primates,Indridae,Propithecus,verreauxi,,Propithecus verreauxi,3.542,3480,hunting_ habitat loss,68,VU,,,,NA,NA,Propithecus verreauxi,,,
3085,Unchanged taxonomy.,Insular_extant_Madagascar_Pteropus rufus,Insular,Madagascar,extant,,NA,NA,Chiroptera,Pteropodidae,Pteropus,rufus,,Pteropus rufus,2.558,361,,153,,,,,NA,NA,Pteropus rufus,,,
3086,Unchanged taxonomy.,Insular_extant_Madagascar_Rousettus madagascariensis,Insular,Madagascar,extant,,NA,NA,Chiroptera,Pteropodidae,Rousettus,madagascariensis,,Rousettus madagascariensis,1.793,62.1,,153,,,,,NA,NA,Rousettus madagascariensis,,,
3087,Genus and species name match. Likely taxonomy is CARNIVORA Eupleridae Salanoia concolor,Insular_extant_Madagascar_Salanoia concolor,Insular,Madagascar,extant,,NA,NA,Carnivora,Herpestidae,Salanoia,concolor,,Salanoia concolor,2.813,650,habitat loss_ changes in native competitors,150,VU,,,,NA,NA,Salanoia concolor,,,
3088,Unchanged taxonomy.,Insular_extant_madagascar_Scotophilus robustus,Insular,madagascar,extant,,NA,NA,Chiroptera,Vespertilionidae,Scotophilus,robustus,,Scotophilus robustus,-999,-999,,-999,,,,,NA,NA,Scotophilus robustus,,,
3089,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Setifer setosus,Insular_extant_Madagascar_Setifer setosus,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Setifer,setosus,,Setifer setosus,2.468,294,Added in by KJ and ME,68,,,,,NA,NA,Setifer setosus,,,
3090,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Tenrec ecaudatus,Insular_extant_Madagascar_Tenrec ecaudatus,Insular,Madagascar,extant,,NA,NA,Insectivora,Tenrecidae,Tenrec,ecaudatus,,Tenrec ecaudatus,2.939,868,Added in by KJ and ME,68,,,,,NA,NA,Tenrec ecaudatus,,,
3091,Unchanged taxonomy.,Insular_extant_Madagascar_Varecia variegata,Insular,Madagascar,extant,,NA,NA,Primates,Lemuridae,Varecia,variegata,,Varecia variegata,3.585,3850,hunting_ habitat loss,68,EN,,,,NA,NA,Varecia variegata,,,
3092,Unchanged taxonomy.,Insular_extant_Madagascar_Varecia variegata,Insular,Madagascar,extant,,NA,NA,Primates,Lemuridae,Varecia,variegata,,Varecia variegata,3.585,3850,hunting_ habitat loss,68,EN,,,,NA,NA,Varecia variegata,,,
3093,Unchanged taxonomy.,Insular_extant_Madagascar_Varecia variegata,Insular,Madagascar,extant,,NA,NA,Primates,Lemuridae,Varecia,variegata,,Varecia variegata,3.585,3850,Added in by KJ and ME,68,,,,,NA,NA,Varecia variegata,,,
3094,Unchanged taxonomy.,Insular_extant_Madagascar_Varecia variegata,Insular,Madagascar,extant,,NA,NA,Primates,Lemuridae,Varecia,variegata,,Varecia variegata,3.585,3850,Added in by KJ and ME,68,,,,,NA,NA,Varecia variegata,,,
3095,Unchanged taxonomy.,Insular_extant_Madagascar_Viverricula indica,Insular,Madagascar,extant,,NA,NA,Carnivora,Viverridae,Viverricula,indica,,Viverricula indica,3.477,3000,2-4kg_ introduced,150,,,,,NA,NA,Viverricula indica,,,
3096,Unchanged taxonomy.,Insular_extant_Madeira isl (Portugal)_ Canary isls (Spain)_Pipistrellus maderensis,Insular,Madeira isl (Portugal)_ Canary isls (Spain),extant,,NA,NA,Chiroptera,Vespertilionidae,Pipistrellus,maderensis,,Pipistrellus maderensis,-999,-999,,-999,,,,,NA,NA,Pipistrellus maderensis,,,
3097,Unchanged taxonomy.,Insular_extant_Madgascar_Myzopoda aurita,Insular,Madgascar,extant,,NA,NA,Chiroptera,Myzopodidae,Myzopoda,aurita,,Myzopoda aurita,-999,-999,,-999,,,,,NA,NA,Myzopoda aurita,,,
3098,Unchanged taxonomy.,Insular_extant_Mafia and Zanzibar Isls_ Africa_Heliosciurus undulatus,Insular,Mafia and Zanzibar Isls_ Africa,extant,,NA,NA,Rodentia,Sciuridae,Heliosciurus,undulatus,,Heliosciurus undulatus,2.541,347.333,,70_ 125,,,,,NA,NA,Heliosciurus undulatus,frug ,t1,arboreal
3099,Unchanged taxonomy.,Insular_extant_Maiana isls and Caroline Isls (including palau Isls)_ Vanuatu (=New Hebrides)_ Fiji Isls_ Samoa_Emballonura semicaudata,Insular,Maiana isls and Caroline Isls (including palau Isls)_ Vanuatu (=New Hebrides)_ Fiji Isls_ Samoa,extant,,NA,NA,Chiroptera,Emballonuridae,Emballonura,semicaudata,,Emballonura semicaudata,0.799,6.3,,153,,,,,NA,NA,Emballonura semicaudata,,,
3100,Unchanged taxonomy.,Insular_extant_Malaita Isl (Solomon Isls)_Nyctimene malaitensis,Insular,Malaita Isl (Solomon Isls),extant,,NA,NA,Chiroptera,Pteropodidae,Nyctimene,malaitensis,,Nyctimene malaitensis,1.877,75.388,,153,,,,,NA,NA,Nyctimene malaitensis,,,
3101,Unchanged taxonomy.,Insular_extant_Malay Peninsula_ SW Thailand_ Burma_ NE India_ Borneo_ Sumatra_ Riau Archipelago_ banguey Isl_ Java_ Banka Isl and Nias Isl_Rhinolophus trifoliatus,Insular,Malay Peninsula_ SW Thailand_ Burma_ NE India_ Borneo_ Sumatra_ Riau Archipelago_ banguey Isl_ Java_ Banka Isl and Nias Isl,extant,,NA,NA,Chiroptera,Rhinolophidae,Rhinolophus,trifoliatus,,Rhinolophus trifoliatus,1.154,14.25,,257,,,,,NA,NA,Rhinolophus trifoliatus,,,
3102,Genus and species name match. Likely taxonomy is CHIROPTERA Hipposideridae Hipposideros bicolor,Insular_extant_Malaysia to the Philippines_ Timor (Indonesia) and adjacent small islands_Hipposideros bicolor,Insular,Malaysia to the Philippines_ Timor (Indonesia) and adjacent small islands,extant,,NA,NA,Chiroptera,Rhinolophidae,Hipposideros,bicolor,,Hipposideros bicolor,0.883,7.642,,153,,,,,NA,NA,Hipposideros bicolor,,,
3103,Unchanged taxonomy.,Insular_extant_Maldive Islands_ India (include Andaman Isl)_ Sri Lanka_ Pakistan_ Burma_ Tsinghai (China)_Pteropus giganteus,Insular,Maldive Islands_ India (include Andaman Isl)_ Sri Lanka_ Pakistan_ Burma_ Tsinghai (China),extant,,NA,NA,Chiroptera,Pteropodidae,Pteropus,giganteus,,Pteropus giganteus,2.905,804.171,,153,,,,,NA,NA,Pteropus giganteus,,,
3104,Unchanged taxonomy.,Insular_extant_Maldive Isls New Guniea through Indonesia to Vietman and Thialand and adjacent islands_ Solomon Isls_ Philippines_Pteropus hypomelanus,Insular,Maldive Isls New Guniea through Indonesia to Vietman and Thialand and adjacent islands_ Solomon Isls_ Philippines,extant,,NA,NA,Chiroptera,Pteropodidae,Pteropus,hypomelanus,,Pteropus hypomelanus,2.63,426.25,,259,,,,,NA,NA,Pteropus hypomelanus,,,
3105,Unchanged taxonomy.,Insular_extant_Mangole_ Taliabu_Rattus elaphinus,Insular,Mangole_ Taliabu,extant,,NA,NA,Rodentia,Muridae,Rattus,elaphinus,,Rattus elaphinus,2.118,131.35,,110,VU,,,,NA,NA,Rattus elaphinus,,,
3106,Unchanged taxonomy.,Insular_extant_Manus_Melomys matambuai,Insular,Manus,extant,,NA,NA,Rodentia,Muridae,Melomys,matambuai,,Melomys matambuai,2.161,145,,110,uk,,,,NA,NA,Melomys matambuai,,,
3107,Unchanged taxonomy.,Insular_extant_Marajo Isl_ Brazil_Monodelphis maraxina,Insular,Marajo Isl_ Brazil,extant,,NA,NA,Didelphimorphia,Didelphidae,Monodelphis,maraxina,,Monodelphis maraxina,-999,-999,habitat loss,-999,VU,,,,NA,NA,Monodelphis maraxina,,,
3108,"Genus level change. Taxonomy possibilities are: RODENTIA Sciuridae Ammospermophilus insularis, RODENTIA Muridae Malpaisomys insularis, LAGOMORPHA Leporidae Lepus insularis, SORICOMORPHA Talpidae Mogera insularis, CHIROPTERA Pteropodidae Pteropus insularis, CHIROPTERA Vespertilionidae Lasiurus insularis",Insular_extant_Maria Madre Isl_ Maria Magdalena Isl_ Mexico_Procyon insularis,Insular,Maria Madre Isl_ Maria Magdalena Isl_ Mexico,extant,,NA,NA,Carnivora,Procyonidae,Procyon,insularis,,Procyon insularis,-999,-999,hunting_ habitat loss_ restricted range,-999,EN,,,,NA,NA,Procyon insularis,,,
3109,Unchanged taxonomy.,Insular_extant_Mariana Isls and Caroline Isls (including Palau Isls)_ Ryukyu Isls (Japan)_Pteropus mariannus,Insular,Mariana Isls and Caroline Isls (including Palau Isls)_ Ryukyu Isls (Japan),extant,,NA,NA,Chiroptera,Pteropodidae,Pteropus,mariannus,,Pteropus mariannus,2.657,453.5,,153,,,,,NA,NA,Pteropus mariannus,,,
3110,Unchanged taxonomy.,Insular_extant_Martinique_ barbados (Lesser Antilles)_Myotis martiniquensis,Insular,Martinique_ barbados (Lesser Antilles),extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,martiniquensis,,Myotis martiniquensis,-999,-999,,-999,,,,,NA,NA,Myotis martiniquensis,,,
3111,Unchanged taxonomy.,Insular_extant_Mascarene Isls (Reunion Isl_ Mauritius isl)_Pteropus niger,Insular,Mascarene Isls (Reunion Isl_ Mauritius isl),extant,,NA,NA,Chiroptera,Pteropodidae,Pteropus,niger,,Pteropus niger,2.659,456.25,,153,,,,,NA,NA,Pteropus niger,,,
3112,Unchanged taxonomy.,Insular_extant_Mediterranean zone and islands of Europe and NW Africa_ Turkey_ Isreal_ Iraq_ Iran_ Uzbekistan_Myotis capaccinii,Insular,Mediterranean zone and islands of Europe and NW Africa_ Turkey_ Isreal_ Iraq_ Iran_ Uzbekistan,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,capaccinii,,Myotis capaccinii,0.872,7.44,,153,,,,,NA,NA,Myotis capaccinii,,,
3113,Unchanged taxonomy.,Insular_extant_Mentawai Archipelago_ Indonesia_Leopoldamys siporanus,Insular,Mentawai Archipelago_ Indonesia,extant,,NA,NA,Rodentia,Muridae,Leopoldamys,siporanus,,Leopoldamys siporanus,2.76,576,habitat loss,60,VU,,,,NA,NA,Leopoldamys siporanus,,,
3114,Unchanged taxonomy.,Insular_extant_Mentawai Archipelago_ Indonesia_Maxomys pagensis,Insular,Mentawai Archipelago_ Indonesia,extant,,NA,NA,Rodentia,Muridae,Maxomys,pagensis,,Maxomys pagensis,2.292,196,,60,LR,,,,NA,NA,Maxomys pagensis,,,
3115,Unchanged taxonomy.,Insular_extant_Mentawai Archipelago_ Indonesia_Rattus lugens,Insular,Mentawai Archipelago_ Indonesia,extant,,NA,NA,Rodentia,Muridae,Rattus,lugens,,Rattus lugens,2.35,224,,60,,,,,NA,NA,Rattus lugens,,,
3116,Genus and species name match. Likely taxonomy is CHIROPTERA Hipposideridae Hipposideros breviceps,Insular_extant_Mentawai Isls (Indonesia)_Hipposideros breviceps,Insular,Mentawai Isls (Indonesia),extant,,NA,NA,Chiroptera,Rhinolophidae,Hipposideros,breviceps,,Hipposideros breviceps,-999,-999,,-999,,,,,NA,NA,Hipposideros breviceps,,,
3117,"Genus level change. Taxonomy possibilities are: PRIMATES Cercopithecidae Simias concolor, PRIMATES Hylobatidae Nomascus concolor, RODENTIA Dipodidae Sicista concolor, RODENTIA Cricetidae Oecomys concolor, ERINACEOMORPHA Erinaceidae Erinaceus concolor, CHIROPTERA Phyllostomidae Artibeus concolor, CARNIVORA Felidae Puma concolor, CARNIVORA Eupleridae Salanoia concolor",Insular_extant_Mentawai Isls_ Indonesia_Nasalis concolor,Insular,Mentawai Isls_ Indonesia,extant,,NA,NA,Primates,Cercopithecidae,Nasalis,concolor,,Nasalis concolor,3.851,7100,hunting_ habitat loss_ restricted range,139,EN,,,,NA,NA,Nasalis concolor,,,
3118,Unchanged taxonomy.,Insular_extant_Mentawei Islands_ Indonesia_Tupaia chrysogaster,Insular,Mentawei Islands_ Indonesia,extant,,NA,NA,Scandentia,Tupaiidae,Tupaia,chrysogaster,,Tupaia chrysogaster,-999,-999,habitat loss,-999,VU,,,,NA,NA,Tupaia chrysogaster,,,
3119,Unchanged taxonomy.,Insular_extant_Mentawi Isl_ Indonesia_Iomys sipora,Insular,Mentawi Isl_ Indonesia,extant,,NA,NA,Rodentia,Sciuridae,Iomys,sipora,,Iomys sipora,-999,-999,habitat loss,-999,VU,,,,NA,NA,Iomys sipora,,,
